n,tasks,time
5000000000,2,33.734977
5000000000,2,33.708916
5000000000,2,33.705298
5000000000,2,33.725102
5000000000,2,33.638753
5000000000,4,18.427058
5000000000,4,18.413627
5000000000,4,18.389525
5000000000,4,18.380438
5000000000,4,17.479698
5000000000,4,17.449166
5000000000,4,17.422327
5000000000,4,17.521691
5000000000,4,18.165120
5000000000,4,18.176439
5000000000,4,18.219321
5000000000,4,18.262439
5000000000,8,18.509935
5000000000,8,18.518819
5000000000,8,18.485928
5000000000,8,18.413993
5000000000,8,9.255908
5000000000,8,9.254164
5000000000,8,9.284181
5000000000,8,9.216588
5000000000,8,9.202910
5000000000,8,9.669990
5000000000,8,11.043381
5000000000,8,11.501910
5000000000,16,18.533904
5000000000,16,18.649970
5000000000,16,18.545938
5000000000,16,18.506061
5000000000,16,9.294008
5000000000,16,9.281936
5000000000,16,9.218005
5000000000,16,9.321978
5000000000,16,8.286430
5000000000,16,8.494088
5000000000,16,7.896606
5000000000,16,7.628159
10000000000,1,135.649930
10000000000,1,135.255072
10000000000,1,134.901212
10000000000,1,135.270397
10000000000,1,134.794822
10000000000,1,135.075326
10000000000,1,135.430370
10000000000,1,135.182027
10000000000,1,135.298951
10000000000,1,135.053894
10000000000,1,135.546266
10000000000,1,135.572594
10000000000,2,69.803747
10000000000,2,69.695379
10000000000,2,69.966881
10000000000,2,69.744566
10000000000,2,67.644030
10000000000,2,73.527748
10000000000,2,67.286688
10000000000,2,67.897908
10000000000,2,67.407435
10000000000,2,67.331655
10000000000,2,67.451229
10000000000,2,67.559690
10000000000,4,36.816333
10000000000,4,36.854448
10000000000,4,36.818918
10000000000,4,36.729293
10000000000,4,34.830190
10000000000,4,34.839060
10000000000,4,35.151227
10000000000,4,34.837689
10000000000,4,36.382473
10000000000,4,36.519180
10000000000,4,36.280751
10000000000,4,36.343989
10000000000,8,36.861932
10000000000,8,36.870036
10000000000,8,36.893940
10000000000,8,36.837764
10000000000,8,18.555372
10000000000,8,18.542732
10000000000,8,18.443230
10000000000,8,18.531302
10000000000,8,18.347587
10000000000,8,18.433553
10000000000,8,18.441626
10000000000,8,18.465681
10000000000,16,36.951922
10000000000,16,37.037979
10000000000,16,36.945066
10000000000,16,36.945954
10000000000,16,18.538126
10000000000,16,18.501948
10000000000,16,18.553932
10000000000,16,18.617698
10000000000,16,12.904986
10000000000,16,13.345407
10000000000,16,13.241896
10000000000,16,13.271885
