method,threads,padding,time,m,n,p
private variable,4,0,0.197313,8000,8000,2
private variable,4,0,0.194350,8000,8000,2
private variable,4,0,0.197017,8000,8000,2
private variable,8,0,0.105635,8000,8000,2
private variable,8,0,0.127115,8000,8000,2
private variable,8,0,0.113870,8000,8000,2
private variable,8,0,0.110802,8000,8000,2
private variable,2,0,0.736139,8000,8000,4
private variable,2,0,0.714295,8000,8000,4
private variable,2,0,0.788258,8000,8000,4
private variable,2,0,0.797013,8000,8000,4
private variable,4,0,0.406024,8000,8000,4
private variable,4,0,0.411700,8000,8000,4
private variable,4,0,0.396883,8000,8000,4
private variable,4,0,0.399838,8000,8000,4
private variable,8,0,0.221380,8000,8000,4
private variable,8,0,0.252521,8000,8000,4
private variable,8,0,0.251778,8000,8000,4
private variable,8,0,0.317152,8000,8000,4
private variable,2,0,1.450907,8000,8000,8
private variable,2,0,1.463977,8000,8000,8
private variable,2,0,1.540444,8000,8000,8
private variable,2,0,1.700176,8000,8000,8
private variable,4,0,0.888537,8000,8000,8
private variable,4,0,0.850031,8000,8000,8
private variable,4,0,0.929813,8000,8000,8
private variable,4,0,0.857371,8000,8000,8
private variable,8,0,0.622748,8000,8000,8
private variable,8,0,0.513383,8000,8000,8
private variable,8,0,0.477776,8000,8000,8
private variable,8,0,0.468108,8000,8000,8
private variable,2,0,0.179734,8,8000000,1
private variable,2,0,0.173190,8,8000000,1
private variable,2,0,0.192750,8,8000000,1
private variable,2,0,0.207925,8,8000000,1
private variable,4,0,0.099238,8,8000000,1
private variable,4,0,0.094236,8,8000000,1
private variable,4,0,0.098773,8,8000000,1
private variable,4,0,0.099925,8,8000000,1
private variable,8,0,0.054843,8,8000000,1
private variable,8,0,0.052647,8,8000000,1
private variable,8,0,0.057512,8,8000000,1
private variable,8,0,0.064163,8,8000000,1
private variable,2,0,0.390556,8,8000000,2
private variable,2,0,0.369445,8,8000000,2
private variable,2,0,0.367260,8,8000000,2
private variable,2,0,0.374377,8,8000000,2
private variable,4,0,0.221963,8,8000000,2
private variable,4,0,0.197701,8,8000000,2
private variable,4,0,0.195484,8,8000000,2
private variable,4,0,0.206895,8,8000000,2
private variable,8,0,0.139522,8,8000000,2
private variable,8,0,0.110556,8,8000000,2
private variable,8,0,0.113052,8,8000000,2
private variable,8,0,0.136712,8,8000000,2
private variable,2,0,0.800490,8,8000000,4
private variable,2,0,0.807429,8,8000000,4
private variable,2,0,0.822066,8,8000000,4
private variable,2,0,0.787001,8,8000000,4
private variable,4,0,0.473276,8,8000000,4
private variable,4,0,0.450360,8,8000000,4
private variable,4,0,0.418461,8,8000000,4
private variable,4,0,0.513478,8,8000000,4
private variable,8,0,0.410130,8,8000000,4
private variable,8,0,0.302287,8,8000000,4
private variable,8,0,0.341143,8,8000000,4
private variable,8,0,0.270939,8,8000000,4
private variable,2,0,2.060478,8,8000000,8
private variable,2,0,1.919257,8,8000000,8
private variable,2,0,1.921840,8,8000000,8
private variable,2,0,2.171371,8,8000000,8
private variable,4,0,1.014459,8,8000000,8
private variable,4,0,1.042131,8,8000000,8
private variable,4,0,1.630224,8,8000000,8
private variable,4,0,1.193055,8,8000000,8
private variable,8,0,1.282633,8,8000000,8
private variable,8,0,1.439598,8,8000000,8
private variable,8,0,1.247131,8,8000000,8
private variable,8,0,0.707943,8,8000000,8
padding,2,2,15.672447,8000,8000,80
padding,2,2,15.612441,8000,8000,80
padding,2,2,16.676837,8000,8000,80
padding,2,2,15.026026,8000,8000,80
padding,4,2,10.592486,8000,8000,80
padding,4,2,10.084758,8000,8000,80
padding,4,2,10.590980,8000,8000,80
padding,4,2,10.132868,8000,8000,80
padding,8,2,7.736983,8000,8000,80
padding,8,2,7.585242,8000,8000,80
padding,8,2,8.303370,8000,8000,80
padding,8,2,7.470569,8000,8000,80
padding,2,4,15.053668,8000,8000,80
padding,2,4,15.212424,8000,8000,80
padding,2,4,15.551729,8000,8000,80
padding,2,4,17.424614,8000,8000,80
padding,4,4,11.030143,8000,8000,80
padding,4,4,9.730778,8000,8000,80
padding,4,4,9.471319,8000,8000,80
padding,4,4,9.651152,8000,8000,80
padding,8,4,7.579206,8000,8000,80
padding,8,4,7.118398,8000,8000,80
padding,8,4,7.109383,8000,8000,80
padding,8,4,8.292441,8000,8000,80
padding,2,8,14.551258,8000,8000,80
padding,2,8,14.433089,8000,8000,80
padding,2,8,14.530828,8000,8000,80
padding,2,8,14.481897,8000,8000,80
padding,4,8,9.456474,8000,8000,80
padding,4,8,9.567928,8000,8000,80
padding,4,8,10.077290,8000,8000,80
padding,4,8,9.813033,8000,8000,80
padding,8,8,7.679586,8000,8000,80
padding,8,8,7.558165,8000,8000,80
padding,8,8,7.747453,8000,8000,80
padding,8,8,7.515301,8000,8000,80
padding,2,16,14.730653,8000,8000,80
padding,2,16,14.710428,8000,8000,80
padding,2,16,15.102137,8000,8000,80
padding,2,16,15.919941,8000,8000,80
padding,4,16,9.774413,8000,8000,80
padding,4,16,9.781007,8000,8000,80
padding,4,16,9.860801,8000,8000,80
padding,4,16,9.678783,8000,8000,80
padding,8,16,7.516653,8000,8000,80
padding,8,16,7.416632,8000,8000,80
padding,8,16,7.857088,8000,8000,80
padding,8,16,7.587622,8000,8000,80
padding,2,2,0.138604,8000,8000,1
padding,2,2,0.130388,8000,8000,1
padding,2,2,0.121463,8000,8000,1
padding,2,2,0.139337,8000,8000,1
padding,4,2,0.074849,8000,8000,1
padding,4,2,0.087582,8000,8000,1
padding,4,2,0.081106,8000,8000,1
padding,4,2,0.099645,8000,8000,1
padding,8,2,0.065684,8000,8000,1
padding,8,2,0.051305,8000,8000,1
padding,8,2,0.048725,8000,8000,1
padding,8,2,0.057739,8000,8000,1
padding,2,4,0.122195,8000,8000,1
padding,2,4,0.103352,8000,8000,1
padding,2,4,0.124589,8000,8000,1
padding,2,4,0.157028,8000,8000,1
padding,4,4,0.070830,8000,8000,1
padding,4,4,0.069761,8000,8000,1
padding,4,4,0.074828,8000,8000,1
padding,4,4,0.077234,8000,8000,1
