scl_type,chunk_size,threads,time
6,32,2,0.030017
6,32,2,0.038953
6,32,4,0.017577
6,32,4,0.018022
6,32,4,0.018669
6,32,4,0.014727
6,32,6,0.014015
6,32,6,0.011975
6,32,6,0.015780
6,32,6,0.014147
6,32,8,0.010228
6,32,8,0.013413
6,32,8,0.013585
6,32,8,0.013799
6,32,12,0.011745
6,32,12,0.012859
6,32,12,0.011720
6,32,12,0.010772
6,32,16,0.013472
6,32,16,0.011159
6,32,16,0.015409
6,32,16,0.009677
6,64,1,0.058821
6,64,1,0.069881
6,64,1,0.066073
6,64,1,0.057726
6,64,2,0.027207
6,64,2,0.036003
6,64,2,0.037539
6,64,2,0.040549
6,64,4,0.018650
6,64,4,0.020400
6,64,4,0.018954
6,64,4,0.017404
6,64,6,0.013629
6,64,6,0.013293
6,64,6,0.013731
6,64,6,0.018570
6,64,8,0.013513
6,64,8,0.013315
6,64,8,0.012303
6,64,8,0.020482
6,64,12,0.029575
6,64,12,0.011353
6,64,12,0.011013
6,64,12,0.018281
6,64,16,0.012217
6,64,16,0.012254
6,64,16,0.017044
6,64,16,0.013665
6,128,1,0.055954
6,128,1,0.064212
6,128,1,0.061458
6,128,1,0.055602
6,128,2,0.030296
6,128,2,0.036516
6,128,2,0.036642
6,128,2,0.029818
6,128,4,0.021249
6,128,4,0.018121
6,128,4,0.024188
6,128,4,0.017725
6,128,6,0.013563
6,128,6,0.017111
6,128,6,0.012411
6,128,6,0.014646
6,128,8,0.012939
6,128,8,0.012727
6,128,8,0.014269
6,128,8,0.017418
6,128,12,0.013431
6,128,12,0.013723
6,128,12,0.010314
6,128,12,0.022399
6,128,16,0.015088
6,128,16,0.018719
6,128,16,0.014409
6,128,16,0.013519
